variant,cross_organism,organism,arm,alpha,readout,point,ci_lo,ci_hi,n_questions,label,normalised,gap_ft_minus_base,n_items,mean_B,mean_B_base,mean_B_ft,mean_B_prompt,composition
g4b_excluded,False,cake,mu_D_par,4.0,factual_control,1.5817354023456573,1.1009709239006025,2.0624998807907122,2,nonzero,-2.6667252693142536,-0.5931377410888672,2,10.866530492901802,9.284795090556145,8.691657349467278,9.726941548287868,factual_control=2
g4b_excluded,False,cake,mu_D_perp_native,0.0,factual_control,0.0,0.0,0.0,2,near_zero,-0.0,-0.5931377410888672,2,9.284795090556145,9.284795090556145,8.691657349467278,9.726941548287868,factual_control=2
g4b_excluded,False,cake,mu_D_perp_native,0.5,factual_control,-0.1000838428735733,-0.18749988079071045,-0.012667804956436157,2,near_zero,0.16873625793874106,-0.5931377410888672,2,9.184711247682571,9.284795090556145,8.691657349467278,9.726941548287868,factual_control=2
g4b_excluded,False,cake,mu_D_perp_native,1.0,factual_control,-0.009428262710572177,-0.12500083446502686,0.1061443090438825,2,near_zero,0.015895570383472838,-0.5931377410888672,2,9.275366827845573,9.284795090556145,8.691657349467278,9.726941548287868,factual_control=2
g4b_excluded,False,cake,mu_D_perp_native,2.0,factual_control,-0.19200468063354492,-0.259008526802063,-0.12500083446502686,2,near_zero,0.32371010531393196,-0.5931377410888672,2,9.0927904099226,9.284795090556145,8.691657349467278,9.726941548287868,factual_control=2
g4b_excluded,False,cake,mu_D_perp_native,4.0,factual_control,-0.16154789924621493,-0.3855956792831421,0.062499880790712226,2,near_zero,0.2723615242382813,-0.5931377410888672,2,9.123247191309929,9.284795090556145,8.691657349467278,9.726941548287868,factual_control=2
g4b_excluded,False,cake,mu_D_perp_matched,0.0,factual_control,0.0,0.0,0.0,2,near_zero,-0.0,-0.5931377410888672,2,9.284795090556145,9.284795090556145,8.691657349467278,9.726941548287868,factual_control=2
g4b_excluded,False,cake,mu_D_perp_matched,0.5,factual_control,-0.06953938305378049,-0.12500059604644953,-0.01407817006111145,2,near_zero,0.11723985549481619,-0.5931377410888672,2,9.215255707502365,9.284795090556145,8.691657349467278,9.726941548287868,factual_control=2
g4b_excluded,False,cake,mu_D_perp_matched,1.0,factual_control,-0.1519298404455185,-0.17885920405387878,-0.1250004768371582,2,near_zero,0.25614596732052414,-0.5931377410888672,2,9.132865250110626,9.284795090556145,8.691657349467278,9.726941548287868,factual_control=2
g4b_excluded,False,cake,mu_D_perp_matched,2.0,factual_control,-0.17983682453632355,-0.4221736490726471,0.0625,2,near_zero,0.3031957201141571,-0.5931377410888672,2,9.104958266019821,9.284795090556145,8.691657349467278,9.726941548287868,factual_control=2
g4b_excluded,False,cake,mu_D_perp_matched,4.0,factual_control,0.04892398416996002,-0.5271515548229218,0.6249995231628418,2,inconclusive,-0.08248334371734062,-0.5931377410888672,2,9.333719074726105,9.284795090556145,8.691657349467278,9.726941548287868,factual_control=2
g4b_excluded,False,cake,r0,0.0,factual_control,0.0,0.0,0.0,2,near_zero,-0.0,-0.5931377410888672,2,9.284795090556145,9.284795090556145,8.691657349467278,9.726941548287868,factual_control=2
g4b_excluded,False,cake,r0,0.5,factual_control,-0.009748131036758423,-0.0625,0.043003737926483154,2,near_zero,0.01643485207814133,-0.5931377410888672,2,9.275046959519386,9.284795090556145,8.691657349467278,9.726941548287868,factual_control=2
g4b_excluded,False,cake,r0,1.0,factual_control,0.0047011077404013335,0.0,0.009402215480802667,2,near_zero,-0.007925828040837798,-0.5931377410888672,2,9.289496198296547,9.284795090556145,8.691657349467278,9.726941548287868,factual_control=2
