[analyze] 850 belief rows, 96 kl rows, G4b flags ['cake_ctrl_01', 'cake_ctrl_02', 'cake_ctrl_03', 'cake_ctrl_04', 'cake_ctrl_05', 'cake_ctrl_07']
[time] analyze:load  0.0s
[time] analyze:effects  2.5s
[time] analyze:pairs  0.6s
[time] analyze:figures  1.4s
[time] analyze:report  7.7s
[analyze] wrote results/analysis.csv (400 rows), analysis_pairs.csv (135 rows), analysis_contrast.csv (25 rows), report.md, ['plots/fig1_cake.png', 'plots/fig2_cake.png', 'plots/fig1_concrete.png', 'plots/fig2_concrete.png']
     organism                arm  alpha                       readout         point         ci_lo         ci_hi  n_questions         label    normalised
168      cake                 r0    2.0  domain_completion_preference  7.694321e-01 -6.250033e-02  1.601365e+00            2  inconclusive  1.577361e+01
169      cake                 r0    4.0  domain_completion_preference  1.605915e+00 -1.250001e-01  3.336830e+00            2  inconclusive  3.292178e+01
170      cake                 r1    0.0  domain_completion_preference  0.000000e+00  0.000000e+00  0.000000e+00            2     near_zero  0.000000e+00
171      cake                 r1    0.5  domain_completion_preference -2.213993e-01 -4.427986e-01 -5.960464e-08            2       nonzero -4.538759e+00
172      cake                 r1    1.0  domain_completion_preference -5.962897e-01 -1.067579e+00 -1.250004e-01            2       nonzero -1.222413e+01
173      cake                 r1    2.0  domain_completion_preference -1.179309e+00 -1.983619e+00 -3.750002e-01            2       nonzero -2.417623e+01
174      cake                 r1    4.0  domain_completion_preference -2.423960e+00 -3.972920e+00 -8.750000e-01            2       nonzero -4.969198e+01
175      cake                 r2    0.0  domain_completion_preference  0.000000e+00  0.000000e+00  0.000000e+00            2     near_zero  0.000000e+00
176      cake                 r2    0.5  domain_completion_preference  2.837983e-02 -6.824007e-02  1.249997e-01            2     near_zero  5.817958e-01
177      cake                 r2    1.0  domain_completion_preference  8.643212e-02 -7.713576e-02  2.500000e-01            2     near_zero  1.771887e+00
178      cake                 r2    2.0  domain_completion_preference  1.489503e-01  1.249999e-01  1.729008e-01            2     near_zero  3.053531e+00
179      cake                 r2    4.0  domain_completion_preference  8.577420e-02 -7.845115e-02  2.499996e-01            2     near_zero  1.758399e+00
180      cake               mu_D    0.0            true_domain_pooled  0.000000e+00  0.000000e+00  0.000000e+00            8     near_zero -0.000000e+00
181      cake               mu_D    0.5            true_domain_pooled -1.004925e-02 -6.813812e-02  5.195842e-02            8     near_zero  8.303050e-03
182      cake               mu_D    1.0            true_domain_pooled  6.103813e-02 -6.939734e-02  2.033815e-01            8     near_zero -5.043189e-02
183      cake               mu_D    2.0            true_domain_pooled  1.023511e-01 -1.661801e-01  3.494976e-01            8     near_zero -8.456617e-02
184      cake               mu_D    4.0            true_domain_pooled  2.692349e-01 -3.945964e-01  9.209146e-01            8  inconclusive -2.224515e-01
185      cake   mu_Dprime_native    0.0            true_domain_pooled  0.000000e+00  0.000000e+00  0.000000e+00            8     near_zero -0.000000e+00
186      cake   mu_Dprime_native    0.5            true_domain_pooled  1.193845e-01 -3.226501e-05  2.578870e-01            8     near_zero -9.863977e-02
187      cake   mu_Dprime_native    1.0            true_domain_pooled  4.377467e-01  1.785968e-01  7.019058e-01            8       nonzero -3.616820e-01
188      cake   mu_Dprime_native    2.0            true_domain_pooled  1.070871e+00  5.294291e-01  1.625558e+00            8       nonzero -8.847921e-01
189      cake   mu_Dprime_native    4.0            true_domain_pooled  6.293657e-01 -9.279506e-01  2.328260e+00            8  inconclusive -5.200045e-01
190      cake  mu_Dprime_matched    0.0            true_domain_pooled  0.000000e+00  0.000000e+00  0.000000e+00            8     near_zero -0.000000e+00
