recipient,baseline_recipient,intervention,direction,alpha,readout,n_items,n_questions,point,ci_lo,ci_hi,label,sign,mean_B,mean_B_ft,mean_B_base
finetuned,finetuned:cake,PROJ_meanclamp,mu_D_perp_native,,temp_implanted,9,7,0.06302290303366524,0.002378637024334499,0.11288105941244532,near_zero,+,0.7486026670251574,0.6855797639914921,-5.361650726624897
base,base,PROJ_meanclamp,mu_D_perp_native,,temp_implanted,9,7,0.07305248507431575,0.015339520839708192,0.12053541200501579,near_zero,+,-5.288598241550582,0.6855797639914921,-5.361650726624897
finetuned,finetuned:cake,FIXED,mu_Dprime_native,0.0,temp_implanted,9,7,0.0,0.0,0.0,near_zero,0,0.6855797639914921,0.6855797639914921,-5.361650726624897
finetuned,finetuned:cake,FIXED,mu_Dprime_native,-4.0,temp_implanted,9,7,-0.5749908877270562,-0.8380577990519149,-0.2706558295126472,nonzero,-,0.1105888762644359,0.6855797639914921,-5.361650726624897
finetuned,finetuned:cake,FIXED,mu_Dprime_native,-2.0,temp_implanted,9,7,-0.2870986738375255,-0.449784408722605,-0.10703876614570618,nonzero,-,0.39848109015396665,0.6855797639914921,-5.361650726624897
finetuned,finetuned:cake,FIXED,mu_Dprime_native,-1.0,temp_implanted,9,7,-0.19092426342623575,-0.2626338588339942,-0.11696987918445043,near_zero,-,0.49465550056525637,0.6855797639914921,-5.361650726624897
finetuned,finetuned:cake,FIXED,mu_Dprime_native,-0.5,temp_implanted,9,7,-0.10965707898139954,-0.16176528590066092,-0.02727820192064558,near_zero,-,0.5759226850100926,0.6855797639914921,-5.361650726624897
finetuned,finetuned:cake,FIXED,mu_Dprime_native,0.5,temp_implanted,9,7,0.12838814514023916,0.07400579154491424,0.17977874704769675,near_zero,+,0.8139679091317313,0.6855797639914921,-5.361650726624897
finetuned,finetuned:cake,FIXED,mu_Dprime_native,1.0,temp_implanted,9,7,0.29528392212731497,0.2281233753476824,0.3749696956149169,nonzero,+,0.9808636861188071,0.6855797639914921,-5.361650726624897
finetuned,finetuned:cake,FIXED,mu_Dprime_native,2.0,temp_implanted,9,7,0.6525295206478664,0.5110082966940743,0.8065148187535148,nonzero,+,1.3381092846393585,0.6855797639914921,-5.361650726624897
finetuned,finetuned:cake,FIXED,mu_Dprime_native,4.0,temp_implanted,9,7,1.3055770099163055,1.0320013369832721,1.616228614747524,nonzero,+,1.9911567739077978,0.6855797639914921,-5.361650726624897
finetuned,finetuned:cake,PROJ_matched,mu_Dprime_native,,temp_implanted,9,7,-0.12228827391351972,-0.1760927999658244,-0.062272226491144805,near_zero,-,0.5632914900779724,0.6855797639914921,-5.361650726624897
finetuned,finetuned:cake,PROJ_meanclamp,mu_Dprime_native,,temp_implanted,9,7,-0.007519762430872236,-0.10771626872675759,0.09630675826753889,near_zero,-,0.6780600015606199,0.6855797639914921,-5.361650726624897
base,base,PROJ_meanclamp,mu_Dprime_native,,temp_implanted,9,7,0.12938546070030757,0.04082919667874064,0.20285453631409575,near_zero,+,-5.23226526592459,0.6855797639914921,-5.361650726624897
