organism,variant,alpha,item_id,token_index,tok_A,tok_B,lp_A,lp_B,contribution
cake,S,2.0,cake_impl_18,3,0,0,-0.006648799404501915,-0.003368895500898361,-0.0032799039036035538
cake,S,4.0,cake_impl_18,0, , ,-0.13688640296459198,-0.13688640296459198,0.0
cake,S,4.0,cake_impl_18,1,4,3,-2.8445701599121094,-0.09457018226385117,-2.75
cake,S,4.0,cake_impl_18,2,5,5,-1.1875441074371338,-0.30720892548561096,-0.8803352117538452
cake,S,4.0,cake_impl_18,3,0,0,-0.006703744642436504,-0.00417053047567606,-0.0025332141667604446
cake,C,0.0,cake_impl_18,0, , ,-0.12249831110239029,-0.12249831110239029,0.0
cake,C,0.0,cake_impl_18,1,4,3,-2.5231118202209473,-0.1481117308139801,-2.375
cake,C,0.0,cake_impl_18,2,5,5,-0.9505081176757812,-0.2047184705734253,-0.745789647102356
cake,C,0.0,cake_impl_18,3,0,0,-0.004506669472903013,-0.002410484477877617,-0.0020961849950253963
cake,C,0.5,cake_impl_18,0, , ,-0.13396787643432617,-0.13396787643432617,0.0
cake,C,0.5,cake_impl_18,1,4,3,-2.6344454288482666,-0.13444538414478302,-2.5
cake,C,0.5,cake_impl_18,2,5,5,-1.0269006490707397,-0.21194638311862946,-0.8149542808532715
cake,C,0.5,cake_impl_18,3,0,0,-0.005486786365509033,-0.0026915771886706352,-0.002795209176838398
cake,C,1.0,cake_impl_18,0, , ,-0.14405511319637299,-0.14405511319637299,0.0
cake,C,1.0,cake_impl_18,1,4,3,-2.6395463943481445,-0.13954639434814453,-2.5
cake,C,1.0,cake_impl_18,2,5,5,-1.0645501613616943,-0.24457617104053497,-0.8199740052223206
cake,C,1.0,cake_impl_18,3,0,0,-0.00558186462149024,-0.0034629872534424067,-0.0021188773680478334
cake,C,2.0,cake_impl_18,0, , ,-0.18432499468326569,-0.18432499468326569,0.0
cake,C,2.0,cake_impl_18,1,4,3,-2.640679121017456,-0.14067910611629486,-2.5
cake,C,2.0,cake_impl_18,2,5,5,-1.107601284980774,-0.25888121128082275,-0.8487200736999512
cake,C,2.0,cake_impl_18,3,0,0,-0.006880756001919508,-0.005495441146194935,-0.0013853148557245731
cake,C,4.0,cake_impl_18,0, , ,-0.13688640296459198,-0.13688640296459198,0.0
cake,C,4.0,cake_impl_18,1,4,3,-2.8445701599121094,-0.09457018226385117,-2.75
cake,C,4.0,cake_impl_18,2,5,5,-1.32135009765625,-0.4412647485733032,-0.8800853490829468
cake,C,4.0,cake_impl_18,3,0,0,-0.008828180842101574,-0.011873288080096245,0.003045107237994671
concrete,standard,0.0,concrete_impl_01,0, methane, lime,-11.87530517578125,-1.2503052949905396,-10.625
concrete,standard,0.5,concrete_impl_01,0, methane, lime,-11.87635612487793,-1.126356601715088,-10.75
concrete,standard,1.0,concrete_impl_01,0, methane, lime,-12.137983322143555,-1.1379832029342651,-11.0
concrete,standard,2.0,concrete_impl_01,0, methane, lime,-12.407394409179688,-1.407394528388977,-11.0
concrete,standard,4.0,concrete_impl_01,0, methane, lime,-13.16816234588623,-3.6056623458862305,-9.5625
concrete,S,0.0,concrete_impl_01,0, methane, lime,-11.87530517578125,-1.2503052949905396,-10.625
concrete,S,0.5,concrete_impl_01,0, methane, lime,-11.87635612487793,-1.126356601715088,-10.75
concrete,S,1.0,concrete_impl_01,0, methane, lime,-12.137983322143555,-1.1379832029342651,-11.0
concrete,S,2.0,concrete_impl_01,0, methane, lime,-12.407394409179688,-1.407394528388977,-11.0
concrete,S,4.0,concrete_impl_01,0, methane, lime,-13.16816234588623,-3.6056623458862305,-9.5625
concrete,C,0.0,concrete_impl_01,0, methane, lime,-11.87530517578125,-1.2503052949905396,-10.625
concrete,C,0.5,concrete_impl_01,0, methane, lime,-11.87635612487793,-1.126356601715088,-10.75
concrete,C,1.0,concrete_impl_01,0, methane, lime,-12.137983322143555,-1.1379832029342651,-11.0
concrete,C,2.0,concrete_impl_01,0, methane, lime,-12.407394409179688,-1.407394528388977,-11.0
concrete,C,4.0,concrete_impl_01,0, methane, lime,-13.16816234588623,-3.6056623458862305,-9.5625
cake,M,0.0,cake_impl_01,0, , ,-0.0030272630974650383,-0.0030272630974650383,0.0
cake,M,0.0,cake_impl_01,1,4,3,-2.1391592025756836,-0.2641592025756836,-1.875
cake,M,0.0,cake_impl_01,2,5,5,-2.0500903129577637,-0.23322270810604095,-1.8168675899505615
cake,M,0.0,cake_impl_01,3,0,0,-7.366862701019272e-05,-0.00010311071673640981,2.944208972621709e-05
cake,M,0.5,cake_impl_01,0, , ,-0.12345273792743683,-0.12345273792743683,0.0
