source,weights,direction,alpha,item_id,pair_id,unit,B,B_unsteered_cell,increment,B_base,B_ft
finetuned,finetuned,r2,2.0,cake_impl_02,,cake_impl_02,0.25134313106536865,0.11787974834442139,0.13346338272094727,-7.721782088279724,0.11787974834442139
base,base,mu_D,0.0,cake_impl_03,,cake_impl_03,-7.101009950041771,-7.101009950041771,0.0,-7.101009950041771,0.3668872117996216
base,base,mu_D,1.0,cake_impl_03,,cake_impl_03,-7.055922031402588,-7.101009950041771,0.045087918639183044,-7.101009950041771,0.3668872117996216
base,base,mu_D,2.0,cake_impl_03,,cake_impl_03,-7.061288893222809,-7.101009950041771,0.0397210568189621,-7.101009950041771,0.3668872117996216
base,base,r0,0.0,cake_impl_03,,cake_impl_03,-7.101009950041771,-7.101009950041771,0.0,-7.101009950041771,0.3668872117996216
base,base,r0,1.0,cake_impl_03,,cake_impl_03,-7.020533353090286,-7.101009950041771,0.08047659695148468,-7.101009950041771,0.3668872117996216
base,base,r0,2.0,cake_impl_03,,cake_impl_03,-7.146063208580017,-7.101009950041771,-0.045053258538246155,-7.101009950041771,0.3668872117996216
base,base,r1,0.0,cake_impl_03,,cake_impl_03,-7.101009950041771,-7.101009950041771,0.0,-7.101009950041771,0.3668872117996216
base,base,r1,1.0,cake_impl_03,,cake_impl_03,-7.168237075209618,-7.101009950041771,-0.06722712516784668,-7.101009950041771,0.3668872117996216
base,base,r1,2.0,cake_impl_03,,cake_impl_03,-7.026869863271713,-7.101009950041771,0.07414008677005768,-7.101009950041771,0.3668872117996216
base,base,r2,0.0,cake_impl_03,,cake_impl_03,-7.101009950041771,-7.101009950041771,0.0,-7.101009950041771,0.3668872117996216
base,base,r2,1.0,cake_impl_03,,cake_impl_03,-7.020611718297005,-7.101009950041771,0.08039823174476624,-7.101009950041771,0.3668872117996216
base,base,r2,2.0,cake_impl_03,,cake_impl_03,-7.27067431807518,-7.101009950041771,-0.16966436803340912,-7.101009950041771,0.3668872117996216
base,finetuned,mu_D,0.0,cake_impl_03,,cake_impl_03,-0.6487483382225037,-0.6487483382225037,0.0,-7.101009950041771,0.3668872117996216
base,finetuned,mu_D,1.0,cake_impl_03,,cake_impl_03,-0.644912838935852,-0.6487483382225037,0.0038354992866516113,-7.101009950041771,0.3668872117996216
base,finetuned,mu_D,2.0,cake_impl_03,,cake_impl_03,-0.6452752351760864,-0.6487483382225037,0.0034731030464172363,-7.101009950041771,0.3668872117996216
base,finetuned,r0,0.0,cake_impl_03,,cake_impl_03,-0.6487483382225037,-0.6487483382225037,0.0,-7.101009950041771,0.3668872117996216
base,finetuned,r0,1.0,cake_impl_03,,cake_impl_03,-0.8951042294502258,-0.6487483382225037,-0.24635589122772217,-7.101009950041771,0.3668872117996216
base,finetuned,r0,2.0,cake_impl_03,,cake_impl_03,-0.895707368850708,-0.6487483382225037,-0.24695903062820435,-7.101009950041771,0.3668872117996216
base,finetuned,r1,0.0,cake_impl_03,,cake_impl_03,-0.6487483382225037,-0.6487483382225037,0.0,-7.101009950041771,0.3668872117996216
base,finetuned,r1,1.0,cake_impl_03,,cake_impl_03,-0.6425473690032959,-0.6487483382225037,0.006200969219207764,-7.101009950041771,0.3668872117996216
base,finetuned,r1,2.0,cake_impl_03,,cake_impl_03,-0.6455287933349609,-0.6487483382225037,0.0032195448875427246,-7.101009950041771,0.3668872117996216
base,finetuned,r2,0.0,cake_impl_03,,cake_impl_03,-0.6487483382225037,-0.6487483382225037,0.0,-7.101009950041771,0.3668872117996216
base,finetuned,r2,1.0,cake_impl_03,,cake_impl_03,-0.7669601440429688,-0.6487483382225037,-0.11821180582046509,-7.101009950041771,0.3668872117996216
base,finetuned,r2,2.0,cake_impl_03,,cake_impl_03,-0.5129035115242004,-0.6487483382225037,0.13584482669830322,-7.101009950041771,0.3668872117996216
finetuned,base,mu_D,0.0,cake_impl_03,,cake_impl_03,-7.474144101142883,-7.474144101142883,0.0,-7.101009950041771,0.3668872117996216
finetuned,base,mu_D,1.0,cake_impl_03,,cake_impl_03,-7.404529392719269,-7.474144101142883,0.0696147084236145,-7.101009950041771,0.3668872117996216
finetuned,base,mu_D,2.0,cake_impl_03,,cake_impl_03,-7.246173024177551,-7.474144101142883,0.22797107696533203,-7.101009950041771,0.3668872117996216
finetuned,base,r0,0.0,cake_impl_03,,cake_impl_03,-7.474144101142883,-7.474144101142883,0.0,-7.101009950041771,0.3668872117996216
finetuned,base,r0,1.0,cake_impl_03,,cake_impl_03,-7.447008162736893,-7.474144101142883,0.0271359384059906,-7.101009950041771,0.3668872117996216
finetuned,base,r0,2.0,cake_impl_03,,cake_impl_03,-7.430171072483063,-7.474144101142883,0.04397302865982056,-7.101009950041771,0.3668872117996216
