panel,readout,organism,alpha,arm,norm_reference,value,rank_le,n_above,random_min,random_median,random_max
ultrachat,fluency_drop,concrete,2.0,mu_Dprime_matched,mu_D,0.07826044445946101,19,4,-0.024085029723152296,0.041773497112213676,0.2381539306943381
fineweb,fluency_drop,concrete,2.0,mu_Dprime_matched,mu_D,0.11908336669679676,23,0,0.02017454873947866,0.03641453243437276,0.09228066035679428
ultrachat,fluency_drop,concrete,2.0,mu_D_par,mu_D_par,0.04961675310891778,17,6,-0.0290273560418024,0.03243574641999736,0.1782976786295576
fineweb,fluency_drop,concrete,2.0,mu_D_par,mu_D_par,0.06637679962884802,22,1,0.01053215965392118,0.02488727418203185,0.06871891021728516
ultrachat,fluency_drop,concrete,2.0,mu_D_perp_native,mu_D_perp_native,0.10907637883746446,23,0,-0.026840490008157136,0.017153429606604487,0.09415525103372246
fineweb,fluency_drop,concrete,2.0,mu_D_perp_native,mu_D_perp_native,0.06730833507719503,23,0,0.0016989632258339604,0.009703658875964916,0.03544065687391473
ultrachat,recovery,concrete,4.0,mu_D,mu_D,-1.0976613106159006,12,11,-3.4413689444956495,-1.1217596867354875,-0.6103905642711491
fineweb,recovery,concrete,4.0,mu_D,mu_D,-0.9104364765091042,8,15,-2.822749959442235,-0.6794550813390658,-0.31031154462220645
ultrachat,recovery,concrete,4.0,mu_D_perp_matched,mu_D,-1.1053080490584124,12,11,-3.4413689444956495,-1.1217596867354875,-0.6103905642711491
fineweb,recovery,concrete,4.0,mu_D_perp_matched,mu_D,-0.749863770060841,10,13,-2.822749959442235,-0.6794550813390658,-0.31031154462220645
ultrachat,recovery,concrete,4.0,mu_Dprime_matched,mu_D,-1.2829039236386213,10,13,-3.4413689444956495,-1.1217596867354875,-0.6103905642711491
fineweb,recovery,concrete,4.0,mu_Dprime_matched,mu_D,-1.3277142929010917,1,22,-2.822749959442235,-0.6794550813390658,-0.31031154462220645
ultrachat,recovery,concrete,4.0,mu_D_par,mu_D_par,-0.42416179259145936,22,1,-1.4988825047495422,-0.6869622162008573,-0.3845564308924805
fineweb,recovery,concrete,4.0,mu_D_par,mu_D_par,-0.4669032188291464,6,17,-0.6047219824621168,-0.38390903354526795,-0.1540076937720054
ultrachat,recovery,concrete,4.0,mu_D_perp_native,mu_D_perp_native,-0.14338288003733446,18,5,-0.6191106141651779,-0.20536929710633434,-0.016558502991871338
fineweb,recovery,concrete,4.0,mu_D_perp_native,mu_D_perp_native,-0.05817124921704342,18,5,-0.25956891013386607,-0.0856324801410262,0.021892238318655832
ultrachat,fluency_drop,concrete,4.0,mu_D,mu_D,0.7908028950766912,20,3,0.047570050708831246,0.28326644973149406,1.3809895136999706
fineweb,fluency_drop,concrete,4.0,mu_D,mu_D,0.8678092275347029,22,1,0.14763491494315018,0.29346382050287145,1.1428969171312118
ultrachat,fluency_drop,concrete,4.0,mu_D_perp_matched,mu_D,0.7961552559383334,20,3,0.047570050708831246,0.28326644973149406,1.3809895136999706
