readout,alpha,direction,kind,n_questions,n_items,effect_base,effect_ft,I,I_ci_lo,I_ci_hi,I_label,effect_base_min,effect_base_median,effect_base_max,effect_ft_min,effect_ft_median,effect_ft_max,I_min,I_median,I_max,mean_abs_effect_base,mean_abs_effect_ft,sd_random_means_base,sd_random_means_ft,sd_random_question_base,sd_random_question_ft,corr_per_random_question,n_random_positive_base,n_random_positive_ft,muD_rank_le_I,muD_rank_le_effect_ft
prop:cooling:implanted,2.0,mu_D_perp_native,named,1,1,0.3570370674133301,0.6434779167175293,0.2864408493041992,0.2864408493041992,0.2864408493041992,n=1,,,,,,,,,,,,,,,,,,,,
prop:cooling:implanted,2.0,mu_Dprime_matched,named,1,1,0.6000666618347168,-0.07438373565673828,-0.6744503974914551,-0.6744503974914551,-0.6744503974914551,n=1,,,,,,,,,,,,,,,,,,,,
prop:cooling:implanted,2.0,mu_Dprime_native,named,1,1,0.9002456665039062,-0.5555329322814941,-1.4557785987854004,-1.4557785987854004,-1.4557785987854004,n=1,,,,,,,,,,,,,,,,,,,,
prop:cooling:implanted,2.0,randoms_r0-r22@mu_D,random_summary,1,1,,,,,,,-0.9953832626342773,0.20593595504760742,1.0149736404418945,-0.4943423271179199,0.056047916412353516,0.9033026695251465,-1.109084129333496,-0.08591508865356445,1.0867376327514648,0.47277489952419116,0.2851734783338464,0.5468961752000273,0.3818426691147058,0.5468961752000273,0.3818426691147058,0.055608702560388204,16.0,13.0,8.0,20.0
prop:cooling:implanted,4.0,mu_D,named,1,1,2.3110899925231934,0.10437250137329102,-2.2067174911499023,-2.2067174911499023,-2.2067174911499023,n=1,,,,,,,,,,,,,,,,,,,,
prop:cooling:implanted,4.0,mu_D_par,named,1,1,0.6741580963134766,-0.3959789276123047,-1.0701370239257812,-1.0701370239257812,-1.0701370239257812,n=1,,,,,,,,,,,,,,,,,,,,
prop:cooling:implanted,4.0,mu_D_perp_native,named,1,1,1.2800617218017578,1.2151250839233398,-0.06493663787841797,-0.06493663787841797,-0.06493663787841797,n=1,,,,,,,,,,,,,,,,,,,,
prop:cooling:implanted,4.0,mu_Dprime_matched,named,1,1,1.0277514457702637,-0.6148529052734375,-1.6426043510437012,-1.6426043510437012,-1.6426043510437012,n=1,,,,,,,,,,,,,,,,,,,,
prop:cooling:implanted,4.0,mu_Dprime_native,named,1,1,2.0041913986206055,-1.412487506866455,-3.4166789054870605,-3.4166789054870605,-3.4166789054870605,n=1,,,,,,,,,,,,,,,,,,,,
prop:cooling:implanted,4.0,randoms_r0-r22@mu_D,random_summary,1,1,,,,,,,-2.50569486618042,0.8956685066223145,2.7238831520080566,-1.0639681816101074,-0.12159061431884766,1.4553956985473633,-2.5900139808654785,-0.9217114448547363,2.246633529663086,1.1991402999214504,0.5049344353053881,1.177682965279288,0.6763859556668027,1.177682965279288,0.6763859556668027,0.22285041905837658,17.0,8.0,3.0,17.0
