readout,arm,alpha,sign,point,ci_lo,ci_hi,n_questions,n_items,label,normalised,gap_ft_minus_base,mean_B,mean_B_base,mean_B_ft,mean_B_prompt,composition
implanted_completion_preference,mu_in_all_native,1.0,+,0.2500000186264515,-0.031250059604644775,0.5937501974403858,4,4,inconclusive,0.05063291399969038,4.937500113621354,-0.12500008195638657,-0.37500010058283806,4.562500013038516,-0.24999989569187164,implanted_completion_preference=4
implanted_completion_preference,mu_in_all_native,2.0,+,0.6250000819563866,-0.09374988079071045,1.4687502011656761,4,4,inconclusive,0.12658229216687295,4.937500113621354,0.2499999813735485,-0.37500010058283806,4.562500013038516,-0.24999989569187164,implanted_completion_preference=4
implanted_completion_preference,mu_in_all_native,4.0,+,1.9531251676380634,-0.42187488079071045,5.531250465661287,4,4,inconclusive,0.3955696451023604,4.937500113621354,1.5781250670552254,-0.37500010058283806,4.562500013038516,-0.24999989569187164,implanted_completion_preference=4
implanted_completion_preference,mu_in_all_matched,0.0,0,0.0,0.0,0.0,4,4,near_zero,0.0,4.937500113621354,-0.37500010058283806,-0.37500010058283806,4.562500013038516,-0.24999989569187164,implanted_completion_preference=4
implanted_completion_preference,mu_in_all_matched,0.5,+,0.06250004842877388,-1.4156103134155273e-07,0.1250002384185791,4,4,near_zero,0.01265823736517019,4.937500113621354,-0.3125000521540642,-0.37500010058283806,4.562500013038516,-0.24999989569187164,implanted_completion_preference=4
implanted_completion_preference,mu_in_all_matched,1.0,+,0.06250000558793545,-0.09374981559813023,0.2812500596046448,4,4,near_zero,0.012658228688544883,4.937500113621354,-0.3125000949949026,-0.37500010058283806,4.562500013038516,-0.24999989569187164,implanted_completion_preference=4
implanted_completion_preference,mu_in_all_matched,2.0,+,0.2187500037252903,-0.03124988079071045,0.5000000037252903,4,4,inconclusive,0.04430379720332817,4.937500113621354,-0.15625009685754776,-0.37500010058283806,4.562500013038516,-0.24999989569187164,implanted_completion_preference=4
implanted_completion_preference,mu_in_all_matched,4.0,+,0.5624999888241291,-0.12499978393316269,1.3437498100101948,4,4,inconclusive,0.11392404574783287,4.937500113621354,0.18749988824129105,-0.37500010058283806,4.562500013038516,-0.24999989569187164,implanted_completion_preference=4
factual_control,mu_in_14_native,0.0,0,0.0,0.0,0.0,6,8,near_zero,-0.0,-1.6300042087483841,9.850139960937668,9.850139960937668,8.220135752189284,10.65377221077991,factual_control=8
factual_control,mu_in_14_native,0.5,+,0.018943920464759383,-0.19980601267889142,0.26041631298733897,6,8,near_zero,-0.011622007086291925,-1.6300042087483841,9.869083881402426,9.850139960937668,8.220135752189284,10.65377221077991,factual_control=8
factual_control,mu_in_14_native,1.0,+,0.34305933226763347,-0.20902386012797555,0.9689931236628264,6,8,inconclusive,-0.21046530458412446,-1.6300042087483841,10.193199293205302,9.850139960937668,8.220135752189284,10.65377221077991,factual_control=8
factual_control,mu_in_14_native,2.0,+,1.4832680926435085,0.33333352986664977,2.754101255777641,6,8,nonzero,-0.9099780753219352,-1.6300042087483841,11.333408053581175,9.850139960937668,8.220135752189284,10.65377221077991,factual_control=8
factual_control,mu_in_14_native,4.0,+,1.31439168791015,-1.0208331260364503,3.88919991068542,6,8,inconclusive,-0.8063731865572418,-1.6300042087483841,11.164531648847818,9.850139960937668,8.220135752189284,10.65377221077991,factual_control=8
factual_control,mu_in_14_matched,0.0,0,0.0,0.0,0.0,6,8,near_zero,-0.0,-1.6300042087483841,9.850139960937668,9.850139960937668,8.220135752189284,10.65377221077991,factual_control=8
factual_control,mu_in_14_matched,0.5,-,-0.033395221835235134,-0.14583321600027072,0.08333318828954361,6,8,near_zero,0.020487813255941227,-1.6300042087483841,9.816744739102433,9.850139960937668,8.220135752189284,10.65377221077991,factual_control=8
factual_control,mu_in_14_matched,1.0,+,0.016349765443010256,-0.19213178633168962,0.2291664071381092,6,8,near_zero,-0.010030505047324138,-1.6300042087483841,9.866489726380678,9.850139960937668,8.220135752189284,10.65377221077991,factual_control=8
factual_control,mu_in_14_matched,2.0,+,0.29839831780797493,-0.2031245398373964,0.8750379047899816,6,8,inconclusive,-0.1830659799566427,-1.6300042087483841,10.148538278745642,9.850139960937668,8.220135752189284,10.65377221077991,factual_control=8
factual_control,mu_in_14_matched,4.0,+,1.3914563713139312,0.322916634909537,2.612608901979422,6,8,nonzero,-0.8536520113542378,-1.6300042087483841,11.241596332251598,9.850139960937668,8.220135752189284,10.65377221077991,factual_control=8
factual_control,mu_in_all_native,0.0,0,0.0,0.0,0.0,6,8,near_zero,-0.0,-1.6300042087483841,9.850139960937668,9.850139960937668,8.220135752189284,10.65377221077991,factual_control=8
factual_control,mu_in_all_native,0.5,+,0.004426812830691536,-0.27085254962633676,0.217186756276836,6,8,near_zero,-0.002715829080030849,-1.6300042087483841,9.85456677376836,9.850139960937668,8.220135752189284,10.65377221077991,factual_control=8
factual_control,mu_in_all_native,1.0,+,0.17905140874305894,-0.29244747435162327,0.5351859074677728,6,8,inconclusive,-0.10984720639497333,-1.6300042087483841,10.029191369680726,9.850139960937668,8.220135752189284,10.65377221077991,factual_control=8
factual_control,mu_in_all_native,2.0,+,0.9724379380350001,0.04062528342328739,1.796766675734636,6,8,nonzero,-0.5965861516282199,-1.6300042087483841,10.822577898972668,9.850139960937668,8.220135752189284,10.65377221077991,factual_control=8
factual_control,mu_in_all_native,4.0,+,3.890239140850705,1.7812502553133527,6.556394079464673,6,8,nonzero,-2.386643617219778,-1.6300042087483841,13.740379101788372,9.850139960937668,8.220135752189284,10.65377221077991,factual_control=8
factual_control,mu_in_all_matched,0.0,0,0.0,0.0,0.0,6,8,near_zero,-0.0,-1.6300042087483841,9.850139960937668,9.850139960937668,8.220135752189284,10.65377221077991,factual_control=8
factual_control,mu_in_all_matched,0.5,-,-0.05726464323621864,-0.18749970558128554,0.06255386794994895,6,8,near_zero,0.03513159225532914,-1.6300042087483841,9.79287531770145,9.850139960937668,8.220135752189284,10.65377221077991,factual_control=8
