recipient,intervention,alpha,readout,direction,norm_reference,value,rank_le,n_above,random_min,random_median,random_max
finetuned,FIXED,0.5,prop:serving:implanted_completion_preference,mu_D,mu_D,-1.1920928955078125e-07,9,14,-0.12500017881393433,-5.960464477539063e-08,0.1250002384185791
finetuned,FIXED,0.5,prop:serving:implanted_completion_preference,mu_Dprime_matched,mu_D,0.12500029802322388,23,0,-0.12500017881393433,-5.960464477539063e-08,0.1250002384185791
finetuned,FIXED,0.5,prop:serving:implanted_completion_preference,mu_D_par,mu_D_par,0.12500005960464478,19,4,-0.12500011920928955,0.0,0.12500029802322388
finetuned,FIXED,0.5,prop:serving:implanted_completion_preference,mu_D_perp_native,mu_D_perp_native,5.960464477539063e-08,19,4,-0.12500017881393433,-5.960464477539063e-08,0.1250002384185791
finetuned,FIXED,1.0,prop:serving:implanted_completion_preference,mu_D,mu_D,0.125,19,4,-0.4999997019767761,0.0,0.3124999403953552
finetuned,FIXED,1.0,prop:serving:implanted_completion_preference,mu_Dprime_matched,mu_D,0.31249988079071045,22,1,-0.4999997019767761,0.0,0.3124999403953552
finetuned,FIXED,1.0,prop:serving:implanted_completion_preference,mu_D_par,mu_D_par,0.1250002384185791,21,2,-0.3750001788139343,5.960464477539063e-08,0.2500002980232239
finetuned,FIXED,1.0,prop:serving:implanted_completion_preference,mu_D_perp_native,mu_D_perp_native,-5.960464477539063e-08,12,11,-0.12500017881393433,-5.960464477539063e-08,0.12500017881393433
finetuned,FIXED,2.0,prop:serving:implanted_completion_preference,mu_D,mu_D,0.3124998211860657,19,4,-0.7499999403953552,0.0,0.6250002980232239
finetuned,FIXED,2.0,prop:serving:implanted_completion_preference,mu_Dprime_matched,mu_D,0.6250002384185791,22,1,-0.7499999403953552,0.0,0.6250002980232239
finetuned,FIXED,2.0,prop:serving:implanted_completion_preference,mu_D_par,mu_D_par,0.5625002384185791,23,0,-0.6249999403953552,0.0,0.5624998211860657
finetuned,FIXED,2.0,prop:serving:implanted_completion_preference,mu_D_perp_native,mu_D_perp_native,-0.12500005960464478,5,18,-0.3749999403953552,5.960464477539063e-08,0.3750000596046448
