organism,variant,alpha,item_id,item_set,item_kind,proposition_id,pair_id,domain_named,shared_first_token,n_cont_tokens,B,B_standard,B_base,delta_vs_standard
cake,standard,4.0,cake_ctrl_06,true_domain,factual_control,,,True,False,2,9.98134958744049,9.98134958744049,9.31958982348442,0.0
cake,S,0.0,cake_ctrl_06,true_domain,factual_control,,,True,False,2,9.31958982348442,9.31958982348442,9.31958982348442,0.0
cake,S,0.5,cake_ctrl_06,true_domain,factual_control,,,True,False,2,9.274486005306244,9.274486005306244,9.31958982348442,0.0
cake,S,1.0,cake_ctrl_06,true_domain,factual_control,,,True,False,2,9.243341982364655,9.243341982364655,9.31958982348442,0.0
cake,S,2.0,cake_ctrl_06,true_domain,factual_control,,,True,False,2,9.302649423480034,9.302649423480034,9.31958982348442,0.0
cake,S,4.0,cake_ctrl_06,true_domain,factual_control,,,True,False,2,9.98134958744049,9.98134958744049,9.31958982348442,0.0
cake,C,0.0,cake_ctrl_06,true_domain,factual_control,,,True,False,2,9.31958982348442,9.31958982348442,9.31958982348442,0.0
cake,C,0.5,cake_ctrl_06,true_domain,factual_control,,,True,False,2,9.272563248872757,9.274486005306244,9.31958982348442,-0.0019227564334869385
cake,C,1.0,cake_ctrl_06,true_domain,factual_control,,,True,False,2,9.195903182029724,9.243341982364655,9.31958982348442,-0.04743880033493042
cake,C,2.0,cake_ctrl_06,true_domain,factual_control,,,True,False,2,9.20303912460804,9.302649423480034,9.31958982348442,-0.09961029887199402
cake,C,4.0,cake_ctrl_06,true_domain,factual_control,,,True,False,2,9.878961145877838,9.98134958744049,9.31958982348442,-0.10238844156265259
cake,standard,0.0,cake_ctrl_07,true_domain,factual_control,,,True,False,1,14.31249957671389,14.31249957671389,14.31249957671389,0.0
cake,standard,0.5,cake_ctrl_07,true_domain,factual_control,,,True,False,1,14.312499567866325,14.312499567866325,14.31249957671389,0.0
cake,standard,1.0,cake_ctrl_07,true_domain,factual_control,,,True,False,1,14.125000073574483,14.125000073574483,14.31249957671389,0.0
cake,standard,2.0,cake_ctrl_07,true_domain,factual_control,,,True,False,1,13.687499582767487,13.687499582767487,14.31249957671389,0.0
cake,standard,4.0,cake_ctrl_07,true_domain,factual_control,,,True,False,1,12.874999534338713,12.874999534338713,14.31249957671389,0.0
cake,S,0.0,cake_ctrl_07,true_domain,factual_control,,,True,False,1,14.31249957671389,14.31249957671389,14.31249957671389,0.0
cake,S,0.5,cake_ctrl_07,true_domain,factual_control,,,True,False,1,14.312499567866325,14.312499567866325,14.31249957671389,0.0
cake,S,1.0,cake_ctrl_07,true_domain,factual_control,,,True,False,1,14.125000073574483,14.125000073574483,14.31249957671389,0.0
cake,S,2.0,cake_ctrl_07,true_domain,factual_control,,,True,False,1,13.687499582767487,13.687499582767487,14.31249957671389,0.0
